site,completeness,std,score
2265_2265,0.04592738547129901,0.04146595189419161,0.04458895539816679
3640_3640,0.04488423980759758,0.04385876135085332,0.044576596270574295
650_650,0.04528990756570369,0.04285238350850348,0.04455865034854362
125_125,0.044507548317927616,0.04463824918052096,0.04454675857670562
5150_5150,0.04427573817043841,0.045132296586833445,0.04453270569535692
8610_8610,0.0437541653385877,0.046296177060611614,0.04451676885519487
1175_1175,0.0437541653385877,0.046294743727291955,0.04451633885519897
410_410,0.044710382196980675,0.04404615991883404,0.044511115513536675
5050_0,0.04433369070731071,0.044914926853285304,0.04450806155110309
445_445,0.04546376517632059,0.04211420143445043,0.04445889605375954
9050_9050,0.043985975486076904,0.04554738179583787,0.044454397379005195
8250_8250,0.04488423980759758,0.04339939022800803,0.044438784933720714
250_250,0.04534786010257599,0.042180704340194955,0.04439771337386168
750_750,0.04462345339167222,0.04384192487620975,0.04438899483703348
495_495,0.04421778563356611,0.04475816844373969,0.04437990047661818
1186_1186,0.04459447712323607,0.043802279455216635,0.044356817822830234
4110_4110,0.04418880936512996,0.04467647134429332,0.04433510795887896
2560_2560,0.04479731100228913,0.043253369139273884,0.04433412844338455
2120_2120,0.04497116861290603,0.04260420496683844,0.044261079519085755
3050_3050,0.04433369070731071,0.044063741787821055,0.044252706031463813
4470_4470,0.04401495175451305,0.04469568509316199,0.044219171756107734
4630_4630,0.042334328185216305,0.04843384209799343,0.04416418235904944
8030_8030,0.044391643244183016,0.04358770808791669,0.04415046269730311
4655_4655,0.04389904668076845,0.044732498971592434,0.044149082368015645
4525_4525,0.04395699921764075,0.04458929736490295,0.04414668866181941
4620_4620,0.043696212801715394,0.04519034350075358,0.044144452011426846
840_840,0.04447857204949147,0.04319106170319778,0.04409231894560336
4130_4130,0.044420619512619164,0.04329810719891065,0.04408386581850661
435_435,0.04491321607603373,0.04202830167857683,0.04404774175679666
4010_4010,0.04404392802294921,0.044043810539094425,0.04404389277779277
4005_4005,0.04476833473385297,0.042341466341562294,0.04404027421616576
620_620,0.04413085682825766,0.04376231052814122,0.044020292938222724
340_340,0.04476833473385297,0.04224853701875798,0.044012395419324474
4450_4450,0.04497116861290603,0.041679107064916766,0.04398355014850925
4965_4965,0.04360928399640694,0.044822198475911894,0.043973158340258424
4540_4540,0.044101880559821505,0.04363266428930918,0.043961115678667805
2160_2160,0.04444959578105532,0.042781309052934105,0.043949109762618954
1180_1180,0.04311668743299238,0.04585780991987834,0.043939024179058164
480_480,0.04517400249195908,0.041035907660034766,0.04393257404238178
150_150,0.043348497580481586,0.04519490022857754,0.04390241837491037
490_490,0.04473935846541682,0.04193563612920047,0.04389824176455191
140_140,0.04320361623830083,0.04548561589982818,0.04388821613675903
4952_4952,0.04323259250673698,0.045414744670888046,0.0438872381559823
5320_0,0.04358030772797079,0.0445709322176939,0.043877495074887723
4480_4480,0.04384109414389615,0.043928684193405204,0.043867371158748864
4490_4490,0.044391643244183016,0.042623943610618054,0.043861333354113526
4512_4512,0.04444959578105532,0.04246863666267505,0.04385530804554123
4150_4150,0.044304714438874564,0.042792257976790225,0.04385097750024926
5240_5240,0.044420619512619164,0.042498753283242145,0.043844059643806055
4505_4505,0.04355133145953464,0.04448220283431385,0.0438305928719684
8003_8003,0.0438700704123323,0.04372744461631314,0.04382728267352655
2185_2185,0.042739995943322416,0.04634578750447428,0.04382173341166797
4120_4120,0.04476833473385297,0.04159573384412424,0.043816554466934346
200_200,0.045231955028831386,0.04049877112200585,0.043811999856783725
4960_4960,0.04352235519109849,0.04446061073168939,0.04380383185327576
4565_4565,0.04404392802294921,0.04323894929034866,0.04380243440316904
8000_8000,0.04447857204949147,0.04209250580833406,0.043762752177144246
2015_2015,0.04381211787546,0.04350902840025309,0.04372119103289793
2140_2140,0.04453652458636377,0.04172964228090924,0.04369445989472741
4495_4495,0.04401495175451305,0.04294086041343285,0.04369272435218899
4420_4420,0.04459447712323607,0.04149864626638266,0.043665727866180046
4560_4560,0.04384109414389615,0.043216753686673035,0.04365379200672921
440_440,0.04497116861290603,0.04048315846576567,0.04362476556876392
4160_4160,0.04401495175451305,0.04269173864216377,0.043617987820808266
360_360,0.044507548317927616,0.04129549115310953,0.04354393116848219
160_160,0.042942829822375475,0.044907641176010316,0.04353227322846592
4140_4140,0.045231955028831386,0.03950630797375249,0.043514260912307715
130_130,0.044304714438874564,0.04166887921194674,0.043513963870796216
3000_3000,0.043696212801715394,0.04307090740357052,0.04350862118227193
175_175,0.04311668743299238,0.044357321875454325,0.04348887776573096
4440_4440,0.044304714438874564,0.04153316568990638,0.0434732498141841
605_605,0.044391643244183016,0.04128024563120994,0.04345822396029109
4954_4954,0.043667236533279245,0.042946884268322646,0.043451130853792264
4680_4680,0.04224739937990785,0.046214797988838194,0.04343761896258695
8270_8270,0.04479731100228913,0.0401832716412421,0.04341309919397501
485_485,0.044072904291385356,0.04181560632527765,0.04339571490155304
4800_4800,0.05337428645938976,0.020083943488522438,0.04338718356812957
4760_4760,0.04404392802294921,0.04180547314618346,0.04337239155991948
100_100,0.043696212801715394,0.042616640918546694,0.04337234123676478
3070_3070,0.04320361623830083,0.04365088780657036,0.043337797708781683
4935_4935,0.04352235519109849,0.042821696955418924,0.043312157720394616
4990_4990,0.04331952131204544,0.04325720921741706,0.04330082768365692
2510_2510,0.04132015878995103,0.04781754649715987,0.04326937510211368
2200_2200,0.04421778563356611,0.04104330056567535,0.04326544011319888
4170_4170,0.04355133145953464,0.04258605784445619,0.0432617493750111
190_190,0.043696212801715394,0.04219763383239737,0.043246639110919985
3620_3620,0.043377473848917734,0.042808868763791016,0.043206892323379716
4015_4015,0.044072904291385356,0.04114061150763294,0.043193216456259634
4915_4915,0.04311668743299238,0.04330249550328076,0.04317242985407889
4040_4040,0.04479731100228913,0.03936865958590062,0.04316871557737257
4645_4645,0.04302975862768393,0.043214381100483534,0.043085145369523806
4460_4460,0.04421778563356611,0.04041104574258322,0.04307576366627124
6080_6080,0.03963953522065428,0.051046836396276975,0.043061725573341085
4545_4545,0.0438700704123323,0.04116973941622373,0.043059971113499726
4400_4400,0.043348497580481586,0.04223836587939209,0.043015458070154736
4030_4030,0.04279794848019472,0.04334045255046778,0.04296069970127663
4270_4270,0.03998725044188809,0.04985388156396797,0.04294723977851205
4942_4942,0.04352235519109849,0.04144113903006422,0.042897990342788204
